neighborhood,longitude,latitude
Tudor City,-73.97140652,40.75325583
Diamond District,-73.9778928,40.75884187
Koreatown,-73.98961758,40.75026274
Lincoln Towers,-73.98185621,40.77560258
Flatiron,-73.99079789,40.73950061
Fulton Houses,-74.00330511,40.74247682
NoHo,-73.99189125,40.72503347
Glendale,-73.88536333,40.70211667
Fort Greene,-73.97677632,40.68641803
Kips Bay,-73.97763771,40.74051587
Stuyvesant Town,-73.98081537,40.73324748
Washington Square Village,-73.99702425,40.73176678
Fort Hamilton,-74.03025825,40.6204585
Downtown Brooklyn,-73.98712358,40.6941804
Yorkville,-73.9534218,40.77840519
East Elmhurst,-73.86440923,40.76862188
Upper East Side,-73.9618932,40.76881374
Murray Hill,-73.97665152,40.74888329
Hell's Kitchen,-73.99523734,40.75672342
San Juan Hill,-73.98223537,40.76596942
Upper West Side,-73.97613599,40.78537835
SoHo,-74.00019863,40.72267202
Tribeca,-74.00963435,40.71679221
Chelsea,-73.99630832,40.7460139
Harlem,-73.9455474,40.80687418
Park Slope,-73.9828766,40.66943174
Woodside,-73.901775,40.747154
Williamsburg,-73.95517986,40.71351078
Bushwick,-73.92173765,40.69782159
Mott Haven,-73.92318673,40.8152418
East Village,-73.98651221,40.73100381
Lower East Side,-73.98702628,40.71884041
Long Island City,-73.94744779,40.74833248
Greenwich Village,-74.00465764,40.7303515
Park West Village,-73.96832557,40.79369027
Brooklyn Heights,-73.99389087,40.69477787
University Village,-73.99695176,40.7264534
Rochdale Village,-73.7777005,40.66656775
Waterside Plaza,-73.97447306,40.73738835
Belmont,-73.8856844,40.8569176
Flatbush,-73.95865082,40.65597636
East Harlem,-73.94332806,40.79358939
Clinton Hill,-73.96405867,40.69065813
Southbridge Towers,-74.00650965,40.70743617
Hamilton Heights,-73.94682231,40.82414912
Astoria,-73.92618857,40.76661842
Jackson Heights,-73.88802039,40.75378245
Marcus Garvey Village,-73.9095345,40.673546
Crown Heights,-73.95291586,40.67226734
Marcy Houses,-73.95279259,40.69508892
North Beach,-73.87277124,40.7732663
Oakland Gardens,-73.77543633,40.75247967
Gravesend,-73.96586057,40.59509071
Sunnyside Gardens,-73.92051164,40.75351323
Wyckoff Gardens,-73.98052154,40.67884592
Midwood,-73.962599,40.6127234
Clinton,-73.9916297,40.76341518
Eastern Parkway,-73.931796,40.66905567
Alphabet City,-73.98300929,40.7228768
Bay Ridge,-74.02123827,40.6347308
Little Italy,-73.99591183,40.72096431
Battery Park City,-74.01373326,40.7079938
Rose Hill,-73.98382091,40.74212566
Steinway,-73.90869972,40.77026392
Midtown West,-73.98850746,40.7653806
Morningside Heights,-73.96278287,40.80653799
Loisaida,-73.9816072,40.72623252
