neighborhood,percentage
East Elmhurst,0.212453561
North Beach,0.211587645
Diamond District,0.20777092
Koreatown,0.206925572
Williamsburg,0.206250285
Clinton,0.205849888
Murray Hill,0.205153647
San Juan Hill,0.204590502
Chelsea,0.203399539
Tudor City,0.203345215
Flatiron,0.20321767
Washington Square Village,0.202188622
Rose Hill,0.201676071
Greenwich Village,0.201332931
SoHo,0.200821324
University Village,0.200807076
NoHo,0.200705879
Upper West Side,0.20029844
East Village,0.200057528
Lincoln Towers,0.199946597
Hell's Kitchen,0.199663159
Fulton Houses,0.199347746
Upper East Side,0.198059381
Midtown West,0.197813849
Little Italy,0.197426241
Loisaida,0.196971172
Stuyvesant Town,0.19640652
Tribeca,0.196273396
Kips Bay,0.195673858
Park West Village,0.19555706
Yorkville,0.195212031
Lower East Side,0.19511358
Chinatown,0.194243071
Alphabet City,0.192936058
Battery Park City,0.192747234
Morningside Heights,0.191968782
South Street Seaport,0.189686425
Southbridge Towers,0.18888549
Harlem,0.18574926
Rochdale Village,0.183450329
East Harlem,0.18335925
