neighborhood,tip %
Eastchester Heights,1.760725733
Douglaston,0.776479451
Terrace Heights,0.607542764
Hollis,0.571073399
Wakefield,0.570254732
Arrochar,0.554715432
Eastchester,0.51557741
Middletown,0.463488658
Westerleigh,0.460521473
Spuyten Duyvil,0.447589534
Bath Beach,0.426619079
Co-Op City,0.421014217
Glen Oaks,0.418411553
Woodlawn,0.393818182
City Island,0.386437544
Paerdegat,0.37433581
Cambria Heights,0.353657633
Riverdale,0.338738058
Kingsbridge Heights,0.328356902
Grant City,0.323625473
Bergen Beach,0.32315008
Colgate Center,0.315621359
Kings Bridge,0.312026891
Schuylerville,0.302140229
Bay Terrace,0.301957524
Lincoln Harbor,0.301886646
Williams Bridge,0.296802315
Queens Village,0.296423414
Canarsie,0.295151508
Fort Hamilton,0.290058837
Fieldston,0.289952163
Pleasant Plains,0.272394178
Sheepshead Bay,0.271512487
Brighton Beach,0.267390007
Van Nest,0.265854701
Westgate Gardens,0.264895389
West New Brighton,0.26402273
Saint George,0.262603133
Hunts Point,0.259619227
Rossville,0.251300221
Fordham Hill,0.249633454
Morris Park,0.247841642
West Brighton,0.24510651
Bensonhurst,0.244463307
Eastern Parkway,0.240777276
Borough Park,0.240327055
Broadway Junction,0.239369432
Locust Manor,0.233538259
Hillside,0.232129323
Marcus Garvey Village,0.232006532
West Farms,0.231343075
Heartland Village,0.230724538
Fresh Meadows,0.228228204
East Flatbush,0.227177695
Midwood,0.227145601
Saint Albans,0.226166792
East New York,0.225175617
Boerum Hill Historic District,0.223646988
Eastchester Houses,0.223180563
Belmont,0.222302449
Utopia,0.222240035
Gun Hill Houses,0.221585929
Pelham Bay,0.220741304
Tremont,0.22069768
Flushing,0.220118035
Breukelen Houses,0.219733735
Crown Heights,0.216924718
Old Germania Heights,0.216254508
Park Slope,0.215963452
Flatlands,0.215751718
Bushwick,0.214315877
Parkville,0.213910701
Rosedale,0.213554239
Gravesend,0.213204339
Ozone Park,0.213190814
South Slope,0.212732927
Greenpoint,0.212590772
East Elmhurst,0.212453561
Morris Heights,0.211723011
Bedford Park,0.211691112
North Beach,0.211587645
Gowanus,0.211263457
Bedford-Stuyvesant,0.210626411
Wyckoff Gardens,0.210577262
Inwood,0.209845197
Adelphi,0.209324634
Oakland Gardens,0.208978461
Gerritsen,0.208871905
Forest Hills Gardens,0.208870324
Linden Hill,0.208608482
Corona,0.208451528
Marcy Houses,0.208245321
Port Morris,0.208057632
Prospect Heights,0.207848181
Diamond District,0.20777092
Fresh Pond Junction,0.207228579
Columbia Street Waterfront District,0.207219523
Ditmas Park,0.207117258
Koreatown,0.206925572
Bay Ridge,0.206920288
Cobble Hill,0.20628775
Williamsburg,0.206250285
Red Hook,0.20600251
Gowanus Houses,0.205942426
Clinton,0.205849888
Parkside,0.205841256
Steinway,0.205240409
Murray Hill,0.205153647
Stapleton,0.204808977
San Juan Hill,0.204590502
Blissville,0.204083395
Bronxdale,0.203426077
Chelsea,0.203399539
Clinton Hill,0.20335182
Tudor City,0.203345215
Middle Village,0.20329482
Ridgewood,0.203256194
Flatiron,0.20321767
New Utrecht,0.203129882
Cypress Hills,0.202612064
Cobble Hill Historic District,0.202610687
Lambert Houses,0.202479881
Brooklyn Navy Yard,0.202208441
Washington Square Village,0.202188622
Haberman,0.202037794
Little Neck,0.201993573
Rose Hill,0.201676071
Kensington,0.20150067
Greenwich Village,0.201332931
Fort Greene,0.201215768
Long Island City,0.201002386
SoHo,0.200821324
University Village,0.200807076
NoHo,0.200705879
Upper West Side,0.20029844
Maspeth,0.200270551
East Village,0.200057528
Lincoln Towers,0.199946597
Baychester,0.199903991
Hell's Kitchen,0.199663159
Seagate,0.19957713
Richmond Hill,0.199475853
Fulton Houses,0.199347746
Dyker Heights,0.199329034
The Tides,0.198644606
Holland,0.198247172
Upper East Side,0.198059381
Woodhaven,0.197927885
Midtown West,0.197813849
Brooklyn Heights,0.197641516
Throgs Neck,0.197472677
Little Italy,0.197426241
Loisaida,0.196971172
Stuyvesant Town,0.19640652
Roy Reuther Houses,0.196282504
Tribeca,0.196273396
DUMBO,0.196188814
Kips Bay,0.195673858
Park West Village,0.19555706
University Heights,0.195380337
Forest Hills,0.195228713
Yorkville,0.195212031
Lower East Side,0.19511358
New Dorp,0.195064021
Bayside,0.195001206
Washington Heights,0.194865822
Boerum Hill,0.194831407
Kew Gardens,0.194344291
Chinatown,0.194243071
Astoria,0.19410895
Unionport,0.193906428
Sunnyside Gardens,0.193489996
Jackson Heights,0.193308964
New Dorp Beach,0.193193519
Alphabet City,0.192936058
Battery Park City,0.192747234
Malba,0.192511933
Charlotte Gardens,0.192301092
Morningside Heights,0.191968782
Parkchester,0.191769232
Downtown Brooklyn,0.191590799
Waterside Plaza,0.191404469
Elmhurst,0.191294495
Flatbush,0.191219722
Brownsville,0.19112997
Richmond,0.191043223
Rego Park,0.190985104
Fresh Pond,0.190919402
South Street Seaport,0.189686425
Manhattanville,0.189271041
Southbridge Towers,0.18888549
Cedar Manor Houses,0.18885583
Lefrak City,0.188484012
College Point,0.188402624
Morrisania,0.188323597
Grymes Hill,0.187980249
Fordham,0.187707226
Spencer Estates,0.186188724
Broad Channel,0.186178997
Jamaica,0.186111436
Woodside,0.186057908
Harlem,0.18574926
High Bridge,0.185661293
City Line,0.18540405
Hamilton Beach,0.185360304
Grasmere,0.18516649
Mott Haven,0.185052493
Brooklyn Manor,0.184544221
Sunnyside,0.183753585
East Tremont,0.183524736
Rochdale Village,0.183450329
East Harlem,0.18335925
Baychester Houses,0.183147678
Whitestone,0.182386312
Beechhurst,0.181987215
Castleton Corners,0.181821818
Hamilton Heights,0.181131767
Annadale,0.179558634
Linden-Park,0.178727322
Coney Island,0.177491247
Howard Beach,0.174548302
Cedar Manor,0.17433966
Glendale,0.172522684
