neighborhood,tip
Adelphi,0.210687101
Alphabet City,0.194514531
Annadale,0.159499665
Arrochar,0.486182275
Astoria,0.195718151
Bath Beach,0.222604767
Battery Park City,0.193285252
Bay Ridge,0.252243979
Bay Terrace,0.191227149
Baychester,0.19149055
Baychester Houses,0.150788846
Bayside,0.185952398
Bedford Park,0.163932329
Bedford-Stuyvesant,0.202098857
Beechhurst,0.15307449
Bellaire,0.132116583
Belmont,0.2402987
Bensonhurst,0.202181177
Bergen Beach,0.223912315
Blissville,0.202466465
Boerum Hill,0.195862749
Boerum Hill Historic District,0.2292134
Borough Park,0.216403573
Breukelen Houses,0.190650598
Brighton Beach,0.215244282
Broad Channel,0.183070318
Broadway Junction,0.208850646
Bronxdale,0.221392868
Brooklyn Heights,0.196926964
Brooklyn Manor,0.178085702
Brooklyn Navy Yard,0.212862467
Brownsville,0.188579898
Bushwick,0.219183728
Cambria Heights,0.175950197
Canarsie,0.160666136
Castleton Corners,0.143741794
Cedar Manor,0.184954898
Cedar Manor Houses,0.186003819
Charlotte Gardens,0.165982067
Chelsea,0.204827954
Chinatown,0.195200743
City Island,0.156569034
City Line,0.191283662
Clinton,0.208946378
Clinton Hill,0.209155883
Co-Op City,0.192530867
Cobble Hill,0.206399034
Cobble Hill Historic District,0.202167464
Colgate Center,0.242327954
College Point,0.181740525
Columbia Street Waterfront District,0.203624895
Coney Island,0.179067619
Corona,0.189503885
Crown Heights,0.212591305
Cypress Hills,0.191454351
DUMBO,0.196853004
Diamond District,0.210240641
Ditmas Park,0.203556274
Dongan Hills,0.172580645
Douglaston,0.22608824
Downtown Brooklyn,0.192651092
Dyker Heights,0.204832358
East Elmhurst,0.210958887
East Flatbush,0.188410951
East Harlem,0.183727811
East New York,0.179226803
East Tremont,0.205482589
East Village,0.201816107
Eastchester,0.660115255
Eastchester Heights,0.115162348
Eastchester Houses,0.18631958
Eastern Parkway,0.206179844
Edenwald Houses,0.151704292
Elmhurst,0.184118554
Fieldston,0.3574106
Flatbush,0.183544835
Flatiron,0.20505339
Flatlands,0.181942467
Flushing,0.243938779
Fordham,0.209458559
Fordham Hill,0.166804433
Forest Hills,0.202276914
Forest Hills Gardens,0.181075925
Fort Greene,0.198927065
Fort Hamilton,0.309953066
Fresh Meadows,0.226372421
Fresh Pond,0.190688771
Fresh Pond Junction,0.184129948
Fulton Houses,0.201209852
Gerritsen,0.17984333
Glen Oaks,0.247033022
Glendale,0.144770403
Gowanus,0.211540917
Gowanus Houses,0.203812069
Grant City,0.224705882
Grasmere,0.186357462
Gravesend,0.289465503
Greenpoint,0.214818503
Greenwich Village,0.20263697
Grymes Hill,0.117772876
Gun Hill Houses,0.182865506
Haberman,0.203034929
Hamilton Beach,0.177300756
Hamilton Heights,0.17915551
Harlem,0.18426742
Heartland Village,0.224319989
Hell's Kitchen,0.202101703
High Bridge,0.181561472
Hillside,0.177394726
Holland,0.197221463
Hollis,0.296284916
Howard Beach,0.194207836
Hunts Point,0.19401323
Inwood,0.186615962
Jackson Heights,0.20036397
Jamaica,0.182844008
Kensington,0.195109373
Kew Gardens,0.193285266
Kings Bridge,0.146950963
Kingsbridge Heights,0.273618574
Kips Bay,0.197101803
Koreatown,0.209549905
Lambert Houses,0.194488492
Laurelton,0.175659821
Lefrak City,0.183586737
Lincoln Harbor,0.312790993
Lincoln Towers,0.201121605
Linden Hill,0.205261364
Linden-Park,0.22762987
Little Italy,0.198909902
Little Neck,0.225133729
Locust Manor,0.16831224
Locust Point,0.141987179
Loisaida,0.198235969
Long Island City,0.199063293
Lower East Side,0.196855786
Malba,0.15786735
Manhattanville,0.187016257
Marcus Garvey Village,0.191712342
Marcy Houses,0.216437213
Maspeth,0.192502017
Melrose,0.148746574
Middle Village,0.184924842
Middletown,0.170329982
Midtown West,0.199531205
Midwood,0.200404047
Morningside Heights,0.192329737
Morris Heights,0.196234143
Morris Park,0.179351926
Morrisania,0.185860645
Mott Haven,0.191227089
Murray Hill,0.206752376
New Dorp,0.163029671
New Dorp Beach,0.198679718
New Utrecht,0.231870575
NoHo,0.201845321
North Beach,0.20852413
Oakland Gardens,0.183869911
Old Germania Heights,0.178238185
Old Town Station,0.160026197
Ozone Park,0.231826198
Paerdegat,0.204655009
Park Slope,0.219277361
Park West Village,0.195319547
Parkchester,0.17584526
Parkside,0.187609478
Parkville,0.216567983
Parsons Beach,0.144061186
Pelham Bay,0.209580393
Pleasant Plains,0.190511617
Port Morris,0.200506836
Prospect Heights,0.210750991
Queens Village,0.211861943
Red Hook,0.20597131
Rego Park,0.191275979
Richmond,0.188302808
Richmond Hill,0.185224865
Ridgewood,0.208617606
Riverdale,0.27533861
Rochdale Village,0.179285527
Rose Hill,0.203820829
Rosedale,0.172173493
Rossville,0.150309923
Roy Reuther Houses,0.184011843
Saint Albans,0.174418917
Saint George,0.179400056
San Juan Hill,0.208123102
Schuylerville,0.17134371
Seagate,0.178663292
Sheepshead Bay,0.174433838
SoHo,0.202211884
South Slope,0.210923222
South Street Seaport,0.189170067
Southbridge Towers,0.189978233
Spencer Estates,0.200032089
Springfield Gardens,0.161725094
Spuyten Duyvil,0.228788447
Stapleton,0.206085917
Steinway,0.202523593
Stuyvesant Town,0.196901809
Sunnyside,0.183876885
Sunnyside Gardens,0.191872368
Terrace Heights,0.122012308
The Tides,0.145675938
Throgs Neck,0.182490718
Tremont,0.190418221
Tribeca,0.197485985
Tudor City,0.20482646
Unionport,0.199754652
University Heights,0.179638544
University Village,0.202523769
Upper East Side,0.199195563
Upper West Side,0.200121621
Utopia,0.191900773
Van Nest,0.168881611
Wakefield,0.179256516
Washington Heights,0.198638981
Washington Square Village,0.203696909
Waterside Plaza,0.191808073
West Brighton,0.200515451
West Farms,0.203049169
West New Brighton,0.158121338
Westerleigh,0.4351368
Westgate Gardens,0.182959715
Whitestone,0.194933256
Williams Bridge,0.719198019
Williamsburg,0.209660706
Woodhaven,0.235716703
Woodlawn,0.135691043
Woodside,0.190414016
Wyckoff Gardens,0.213505767
Yorkville,0.195578209
