neighborhood,longitude,latitude
Adelphi,-73.96107043,40.67931497
Alphabet City,-73.98243733,40.72263935
Annadale,-74.177147,40.540531
Arrochar,-74.0710755,40.60055625
Astoria,-73.92677225,40.76624719
Bath Beach,-74.005872,40.60620763
Battery Park City,-74.01394925,40.70833425
Bay Ridge,-74.02329042,40.63354623
Bay Terrace,-74.139023,40.548306
Baychester,-73.8424205,40.8609945
Baychester Houses,-73.839661,40.882805
Bayside,-73.78128404,40.769162
Bedford Park,-73.88503242,40.87294617
Bedford-Stuyvesant,-73.94181558,40.68701237
Beechhurst,-73.79731754,40.78718254
Bellaire,-73.7519645,40.7128887
Belmont,-73.88548649,40.85851971
Bensonhurst,-73.99252981,40.59959938
Bergen Beach,-73.90840773,40.61906945
Blissville,-73.93888333,40.73561467
Boerum Hill,-73.9849376,40.68828845
Boerum Hill Historic District,-73.98619845,40.68558736
Borough Park,-73.99752472,40.63998638
Breukelen Houses,-73.88588379,40.64996307
Brighton Beach,-73.95825459,40.58038776
Broad Channel,-73.811306,40.628424
Broadway Junction,-73.9062755,40.67931309
Bronxdale,-73.86857408,40.85501958
Brooklyn Heights,-73.9941886,40.69484594
Brooklyn Manor,-73.84649722,40.69474967
Brooklyn Navy Yard,-73.9714164,40.70199469
Brownsville,-73.92080959,40.66367864
Bushwick,-73.92328325,40.69769418
Cambria Heights,-73.73757614,40.691978
Canarsie,-73.89830994,40.63881133
Castleton Corners,-74.117185,40.607442
Cedar Manor,-73.79147329,40.686893
Cedar Manor Houses,-73.79370156,40.67362769
Charlotte Gardens,-73.89013829,40.82775929
Chelsea,-73.99659146,40.74590569
Chinatown,-73.99606943,40.7131162
City Island,-73.78624733,40.84525667
City Line,-73.88100007,40.68080107
Clinton,-73.99085803,40.762959
Clinton Hill,-73.9656026,40.69051464
Cobble Hill,-73.99685234,40.68365507
Cobble Hill Historic District,-73.99512139,40.68830909
Colgate Center,-74.03783989,40.72046054
College Point,-73.84256313,40.78071525
Columbia Street Waterfront District,-74.0015629,40.68361496
Coney Island,-73.9923,40.57906325
Co-Op City,-73.82852793,40.87111207
Corona,-73.86006957,40.74902825
Crown Heights,-73.95309241,40.67126266
Cypress Hills,-73.89277886,40.67654871
Diamond District,-73.97804102,40.75871989
Ditmas Park,-73.9597538,40.63790645
Dongan Hills,-74.093018,40.586971
Douglaston,-73.75016267,40.76555267
Downtown Brooklyn,-73.9867586,40.694001
DUMBO,-73.98975587,40.70117957
Dyker Heights,-74.00704157,40.62137095
East Elmhurst,-73.86445652,40.7686404
East Flatbush,-73.93704224,40.64957541
East Harlem,-73.94376765,40.79385532
East New York,-73.87964674,40.66701222
East Tremont,-73.8964416,40.8425032
East Village,-73.98675354,40.73110086
Eastchester,-73.820908,40.8792115
Eastchester Heights,-73.849329,40.8800505
Eastchester Houses,-73.854783,40.86620443
Eastern Parkway,-73.93750185,40.67079133
Edenwald Houses,-73.857742,40.886913
Elmhurst,-73.8817637,40.7382799
Fieldston,-73.90478013,40.89130365
Flatbush,-73.95791355,40.65544757
Flatiron,-73.99044193,40.73953084
Flatlands,-73.93788416,40.61809594
Flushing,-73.82744883,40.76206459
Fordham,-73.90028462,40.85638467
Fordham Hill,-73.903367,40.86858471
Forest Hills,-73.84882628,40.72197926
