neighborhood,pay type,# rides
Adelphi,CRD,74887
Adelphi,CSH,47637
Adelphi,DIS,127
Adelphi,NOC,294
Adelphi,UNK,211
Alphabet City,CRD,243783
Alphabet City,CSH,184338
Alphabet City,DIS,331
Alphabet City,NOC,951
Alphabet City,UNK,396
Annadale,CRD,535
Annadale,CSH,391
Annadale,DIS,3
Annadale,NOC,7
Annadale,UNK,1
Arrochar,CRD,1286
Arrochar,CSH,712
Arrochar,DIS,2
Arrochar,NOC,14
Astoria,CRD,139376
Astoria,CSH,141465
Astoria,DIS,358
Astoria,NOC,1081
Astoria,UNK,324
Bath Beach,CRD,3283
Bath Beach,CSH,3392
Bath Beach,DIS,14
Bath Beach,NOC,45
Bath Beach,UNK,1
Battery Park City,CRD,509202
Battery Park City,CSH,406180
Battery Park City,DIS,652
Battery Park City,NOC,2078
Battery Park City,UNK,1041
Bay Ridge,CRD,22411
Bay Ridge,CSH,19433
Bay Ridge,DIS,86
Bay Ridge,NOC,164
Bay Ridge,UNK,46
Bay Terrace,CRD,513
Bay Terrace,CSH,471
Bay Terrace,DIS,2
Bay Terrace,NOC,5
Baychester,CRD,1830
Baychester,CSH,1533
Baychester,DIS,2
Baychester,NOC,21
Baychester,UNK,2
Baychester Houses,CRD,679
Baychester Houses,CSH,1035
Baychester Houses,DIS,4
Baychester Houses,NOC,10
Baychester Houses,UNK,1
Bayside,CRD,5325
Bayside,CSH,6020
Bayside,DIS,27
Bayside,NOC,53
Bayside,UNK,5
Bedford Park,CRD,3321
Bedford Park,CSH,5352
Bedford Park,DIS,19
Bedford Park,NOC,57
Bedford Park,UNK,14
Bedford-Stuyvesant,CRD,53545
Bedford-Stuyvesant,CSH,51026
Bedford-Stuyvesant,DIS,170
Bedford-Stuyvesant,NOC,376
Bedford-Stuyvesant,UNK,151
Beechhurst,CRD,2319
Beechhurst,CSH,3099
Beechhurst,DIS,8
Beechhurst,NOC,23
Beechhurst,UNK,1
Bellaire,CRD,845
Bellaire,CSH,1789
Bellaire,DIS,7
Bellaire,NOC,19
Bellaire,UNK,3
Belmont,CRD,4244
Belmont,CSH,4568
Belmont,DIS,19
Belmont,NOC,39
Belmont,UNK,8
Bensonhurst,CRD,5201
Bensonhurst,CSH,5827
Bensonhurst,DIS,34
Bensonhurst,NOC,77
Bensonhurst,UNK,9
Bergen Beach,CRD,1573
Bergen Beach,CSH,2542
Bergen Beach,DIS,11
Bergen Beach,NOC,32
Bergen Beach,UNK,4
Blissville,CRD,9475
Blissville,CSH,11766
Blissville,DIS,56
Blissville,NOC,161
Blissville,UNK,25
Boerum Hill,CRD,28765
Boerum Hill,CSH,20255
Boerum Hill,DIS,82
Boerum Hill,NOC,188
Boerum Hill,UNK,66
Boerum Hill Historic District,CRD,10075
Boerum Hill Historic District,CSH,6742
Boerum Hill Historic District,DIS,19
Boerum Hill Historic District,NOC,101
Boerum Hill Historic District,UNK,34
Borough Park,CRD,14970
Borough Park,CSH,17295
Borough Park,DIS,64
Borough Park,NOC,147
Borough Park,UNK,48
Breukelen Houses,CRD,1567
Breukelen Houses,CSH,3213
Breukelen Houses,DIS,12
Breukelen Houses,NOC,37
Breukelen Houses,UNK,1
Brighton Beach,CRD,3794
Brighton Beach,CSH,4979
Brighton Beach,DIS,29
Brighton Beach,NOC,64
Brighton Beach,UNK,16
Broad Channel,CRD,81886
Broad Channel,CSH,48972
Broad Channel,DIS,395
Broad Channel,NOC,1287
Broad Channel,UNK,152
Broadway Junction,CRD,9159
Broadway Junction,CSH,12193
Broadway Junction,DIS,55
Broadway Junction,NOC,109
Broadway Junction,UNK,25
Bronxdale,CRD,3209
Bronxdale,CSH,4161
Bronxdale,DIS,13
Bronxdale,NOC,28
Bronxdale,UNK,4
Brooklyn Heights,CRD,92905
Brooklyn Heights,CSH,57118
Brooklyn Heights,DIS,101
Brooklyn Heights,NOC,284
Brooklyn Heights,UNK,201
Brooklyn Manor,CRD,3201
Brooklyn Manor,CSH,5370
Brooklyn Manor,DIS,23
Brooklyn Manor,NOC,54
Brooklyn Manor,UNK,2
Brooklyn Navy Yard,CRD,30665
Brooklyn Navy Yard,CSH,25098
Brooklyn Navy Yard,DIS,54
Brooklyn Navy Yard,NOC,152
Brooklyn Navy Yard,UNK,71
Brownsville,CRD,4616
Brownsville,CSH,8615
Brownsville,DIS,45
Brownsville,NOC,292
Brownsville,UNK,47
Bushwick,CRD,87541
Bushwick,CSH,76150
Bushwick,DIS,238
Bushwick,NOC,531
Bushwick,UNK,214
Cambria Heights,CRD,1667
Cambria Heights,CSH,4088
Cambria Heights,DIS,16
Cambria Heights,NOC,53
Cambria Heights,UNK,1
Canarsie,CRD,2069
Canarsie,CSH,4023
Canarsie,DIS,16
Canarsie,NOC,40
Canarsie,UNK,5
Castleton Corners,CRD,712
Castleton Corners,CSH,454
Castleton Corners,DIS,1
Castleton Corners,NOC,8
Cedar Manor,CRD,636
Cedar Manor,CSH,1860
Cedar Manor,DIS,8
Cedar Manor,NOC,20
Cedar Manor,UNK,2
Cedar Manor Houses,CRD,17047
Cedar Manor Houses,CSH,19238
Cedar Manor Houses,DIS,215
Cedar Manor Houses,NOC,890
Cedar Manor Houses,UNK,35
Charlotte Gardens,CRD,2130
Charlotte Gardens,CSH,4779
Charlotte Gardens,DIS,18
Charlotte Gardens,NOC,58
Charlotte Gardens,UNK,4
Chelsea,CRD,989948
Chelsea,CSH,785077
Chelsea,DIS,1077
Chelsea,NOC,3630
Chelsea,UNK,2051
Chinatown,CRD,138324
Chinatown,CSH,152093
Chinatown,DIS,248
Chinatown,NOC,786
Chinatown,UNK,242
City Island,CRD,2121
City Island,CSH,888
City Island,DIS,17
City Island,NOC,44
City Line,CRD,1445
City Line,CSH,3307
City Line,DIS,18
City Line,NOC,38
City Line,UNK,19
Clinton,CRD,619877
Clinton,CSH,746297
Clinton,DIS,1115
Clinton,NOC,3793
Clinton,UNK,1273
Clinton Hill,CRD,99556
Clinton Hill,CSH,63771
Clinton Hill,DIS,146
Clinton Hill,NOC,317
Clinton Hill,UNK,271
Co-Op City,CRD,1401
Co-Op City,CSH,2053
Co-Op City,DIS,6
Co-Op City,NOC,29
Co-Op City,UNK,1
Cobble Hill,CRD,38940
Cobble Hill,CSH,21380
Cobble Hill,DIS,52
Cobble Hill,NOC,115
Cobble Hill,UNK,87
Cobble Hill Historic District,CRD,54459
Cobble Hill Historic District,CSH,32670
Cobble Hill Historic District,DIS,74
Cobble Hill Historic District,NOC,194
Cobble Hill Historic District,UNK,115
Colgate Center,CRD,38716
Colgate Center,CSH,9645
Colgate Center,DIS,163
Colgate Center,NOC,582
Colgate Center,UNK,16
College Point,CRD,2204
College Point,CSH,3765
College Point,DIS,9
College Point,NOC,33
College Point,UNK,2
Columbia Street Waterfront District,CRD,28528
Columbia Street Waterfront District,CSH,17881
Columbia Street Waterfront District,DIS,38
Columbia Street Waterfront District,NOC,100
Columbia Street Waterfront District,UNK,87
Coney Island,CRD,914
Coney Island,CSH,1432
Coney Island,DIS,14
Coney Island,NOC,17
Coney Island,UNK,4
Corona,CRD,11110
Corona,CSH,30547
Corona,DIS,112
Corona,NOC,247
Corona,UNK,19
Crown Heights,CRD,57903
Crown Heights,CSH,42204
Crown Heights,DIS,130
Crown Heights,NOC,319
Crown Heights,UNK,173
Cypress Hills,CRD,1515
Cypress Hills,CSH,3367
Cypress Hills,DIS,26
Cypress Hills,NOC,44
Cypress Hills,UNK,3
DUMBO,CRD,76776
DUMBO,CSH,48746
DUMBO,DIS,125
DUMBO,NOC,318
DUMBO,UNK,172
Diamond District,CRD,2484916
Diamond District,CSH,2484995
Diamond District,DIS,2825
Diamond District,NOC,8309
Diamond District,UNK,5781
Ditmas Park,CRD,19777
Ditmas Park,CSH,18100
Ditmas Park,DIS,82
Ditmas Park,NOC,177
Ditmas Park,UNK,62
Dongan Hills,CRD,269
Dongan Hills,CSH,170
Dongan Hills,NOC,1
Douglaston,CRD,1037
Douglaston,CSH,1177
Douglaston,DIS,12
Douglaston,NOC,13
Downtown Brooklyn,CRD,73681
Downtown Brooklyn,CSH,53197
Downtown Brooklyn,DIS,173
Downtown Brooklyn,NOC,472
Downtown Brooklyn,UNK,158
Dyker Heights,CRD,4896
Dyker Heights,CSH,4830
Dyker Heights,DIS,10
Dyker Heights,NOC,34
Dyker Heights,UNK,12
East Elmhurst,CRD,299488
East Elmhurst,CSH,131562
East Elmhurst,DIS,425
East Elmhurst,NOC,1341
East Elmhurst,UNK,689
East Flatbush,CRD,5283
East Flatbush,CSH,8413
East Flatbush,DIS,29
East Flatbush,NOC,78
East Flatbush,UNK,39
East Harlem,CRD,314236
East Harlem,CSH,419195
East Harlem,DIS,704
East Harlem,NOC,1994
East Harlem,UNK,740
East New York,CRD,1819
East New York,CSH,4219
East New York,DIS,18
East New York,NOC,54
East New York,UNK,11
East Tremont,CRD,1525
East Tremont,CSH,2733
East Tremont,DIS,18
East Tremont,NOC,30
East Tremont,UNK,2
East Village,CRD,831491
East Village,CSH,585451
East Village,DIS,839
East Village,NOC,2666
East Village,UNK,1664
Eastchester,CRD,4121
Eastchester,CSH,2121
Eastchester,DIS,30
Eastchester,NOC,76
Eastchester,UNK,5
Eastchester Heights,CRD,445
Eastchester Heights,CSH,873
Eastchester Heights,DIS,8
Eastchester Heights,NOC,10
Eastchester Heights,UNK,3
Eastchester Houses,CRD,939
Eastchester Houses,CSH,1241
Eastchester Houses,DIS,9
Eastchester Houses,NOC,16
Eastchester Houses,UNK,1
Eastern Parkway,CRD,18994
Eastern Parkway,CSH,21060
Eastern Parkway,DIS,81
Eastern Parkway,NOC,230
Eastern Parkway,UNK,64
Edenwald Houses,CRD,1067
Edenwald Houses,CSH,1581
Edenwald Houses,DIS,12
Edenwald Houses,NOC,20
Edenwald Houses,UNK,1
Elmhurst,CRD,18233
Elmhurst,CSH,40632
Elmhurst,DIS,138
Elmhurst,NOC,290
Elmhurst,UNK,18
Fieldston,CRD,7918
Fieldston,CSH,5427
Fieldston,DIS,17
Fieldston,NOC,43
Fieldston,UNK,18
Flatbush,CRD,36491
Flatbush,CSH,31803
Flatbush,DIS,119
Flatbush,NOC,279
Flatbush,UNK,89
Flatiron,CRD,1290623
Flatiron,CSH,896529
Flatiron,DIS,1090
Flatiron,NOC,3692
Flatiron,UNK,2706
Flatlands,CRD,6218
Flatlands,CSH,7250
Flatlands,DIS,37
Flatlands,NOC,78
Flatlands,UNK,12
Flushing,CRD,16024
Flushing,CSH,26701
Flushing,DIS,127
Flushing,NOC,401
Flushing,UNK,25
Fordham,CRD,3072
Fordham,CSH,6797
Fordham,DIS,23
Fordham,NOC,83
Fordham,UNK,6
Fordham Hill,CRD,3900
Fordham Hill,CSH,6144
Fordham Hill,DIS,30
Fordham Hill,NOC,76
Fordham Hill,UNK,19
Forest Hills,CRD,22751
Forest Hills,CSH,19373
Forest Hills,DIS,53
Forest Hills,NOC,141
Forest Hills,UNK,25
Forest Hills Gardens,CRD,16529
Forest Hills Gardens,CSH,13478
Forest Hills Gardens,DIS,51
Forest Hills Gardens,NOC,133
Forest Hills Gardens,UNK,22
Fort Greene,CRD,76753
Fort Greene,CSH,52977
Fort Greene,DIS,124
Fort Greene,NOC,476
Fort Greene,UNK,183
Fort Hamilton,CRD,19680
Fort Hamilton,CSH,16112
Fort Hamilton,DIS,71
Fort Hamilton,NOC,145
Fort Hamilton,UNK,30
Fresh Meadows,CRD,6514
Fresh Meadows,CSH,9038
Fresh Meadows,DIS,35
Fresh Meadows,NOC,78
Fresh Meadows,UNK,12
Fresh Pond,CRD,4190
Fresh Pond,CSH,6718
Fresh Pond,DIS,19
Fresh Pond,NOC,49
Fresh Pond,UNK,5
Fresh Pond Junction,CRD,3122
Fresh Pond Junction,CSH,5059
Fresh Pond Junction,DIS,12
Fresh Pond Junction,NOC,30
Fresh Pond Junction,UNK,6
Fulton Houses,CRD,1518731
Fulton Houses,CSH,1052439
Fulton Houses,DIS,1515
Fulton Houses,NOC,5093
Fulton Houses,UNK,2788
Gerritsen,CRD,1370
Gerritsen,CSH,1594
Gerritsen,DIS,9
Gerritsen,NOC,17
Gerritsen,UNK,2
Glen Oaks,CRD,11834
Glen Oaks,CSH,9509
Glen Oaks,DIS,89
Glen Oaks,NOC,284
Glen Oaks,UNK,81
Glendale,CRD,1639
Glendale,CSH,3326
Glendale,DIS,12
Glendale,NOC,24
Glendale,UNK,5
Gowanus,CRD,25063
Gowanus,CSH,15569
Gowanus,DIS,40
Gowanus,NOC,111
Gowanus,UNK,48
Gowanus Houses,CRD,36937
Gowanus Houses,CSH,22387
Gowanus Houses,DIS,57
Gowanus Houses,NOC,159
Gowanus Houses,UNK,72
Grant City,CRD,296
Grant City,CSH,201
Grant City,DIS,2
Grant City,NOC,2
Grant City,UNK,1
Grasmere,CRD,453
Grasmere,CSH,454
Grasmere,DIS,3
Grasmere,NOC,1
Gravesend,CRD,6713
Gravesend,CSH,7788
Gravesend,DIS,35
Gravesend,NOC,81
Gravesend,UNK,12
Greenpoint,CRD,215414
Greenpoint,CSH,149385
Greenpoint,DIS,464
Greenpoint,NOC,1131
Greenpoint,UNK,463
Greenwich Village,CRD,998170
Greenwich Village,CSH,646419
Greenwich Village,DIS,1033
Greenwich Village,NOC,3346
Greenwich Village,UNK,1912
Grymes Hill,CRD,470
Grymes Hill,CSH,271
Grymes Hill,DIS,2
Grymes Hill,NOC,4
Gun Hill Houses,CRD,1176
Gun Hill Houses,CSH,2345
Gun Hill Houses,DIS,19
Gun Hill Houses,NOC,31
Gun Hill Houses,UNK,4
Haberman,CRD,28057
Haberman,CSH,41783
Haberman,DIS,122
Haberman,NOC,346
Haberman,UNK,62
Hamilton Beach,CRD,13020
Hamilton Beach,CSH,7201
Hamilton Beach,DIS,55
Hamilton Beach,NOC,193
Hamilton Beach,UNK,17
Hamilton Heights,CRD,158599
Hamilton Heights,CSH,165014
Hamilton Heights,DIS,398
Hamilton Heights,NOC,1072
Hamilton Heights,UNK,341
Harlem,CRD,255019
Harlem,CSH,263458
Harlem,DIS,492
Harlem,NOC,1473
Harlem,UNK,552
Heartland Village,CRD,1207
Heartland Village,CSH,1059
Heartland Village,DIS,6
Heartland Village,NOC,14
Hell's Kitchen,CRD,1149393
Hell's Kitchen,CSH,1158885
Hell's Kitchen,DIS,1644
Hell's Kitchen,NOC,5654
Hell's Kitchen,UNK,2100
High Bridge,CRD,13379
High Bridge,CSH,22630
High Bridge,DIS,78
High Bridge,NOC,180
High Bridge,UNK,27
Hillside,CRD,5671
Hillside,CSH,9982
Hillside,DIS,44
Hillside,NOC,107
Hillside,UNK,7
Holland,CRD,1279
Holland,CSH,1712
Holland,DIS,7
Holland,NOC,25
Holland,UNK,1
Hollis,CRD,1631
Hollis,CSH,2389
Hollis,DIS,4
Hollis,NOC,14
Hollis,UNK,5
Howard Beach,CRD,1727
Howard Beach,CSH,3039
Howard Beach,DIS,10
Howard Beach,NOC,26
Howard Beach,UNK,1
Hunts Point,CRD,2604
Hunts Point,CSH,5367
Hunts Point,DIS,14
Hunts Point,NOC,62
Hunts Point,UNK,1
Inwood,CRD,44694
Inwood,CSH,37243
Inwood,DIS,128
Inwood,NOC,261
Inwood,UNK,83
Jackson Heights,CRD,43414
Jackson Heights,CSH,83933
Jackson Heights,DIS,264
Jackson Heights,NOC,717
Jackson Heights,UNK,105
Jamaica,CRD,6049
Jamaica,CSH,10652
Jamaica,DIS,69
Jamaica,NOC,260
Jamaica,UNK,15
Kensington,CRD,27856
Kensington,CSH,19858
Kensington,DIS,69
Kensington,NOC,214
Kensington,UNK,56
Kew Gardens,CRD,15603
Kew Gardens,CSH,17189
Kew Gardens,DIS,80
Kew Gardens,NOC,171
Kew Gardens,UNK,28
Kings Bridge,CRD,6995
Kings Bridge,CSH,7222
Kings Bridge,DIS,30
Kings Bridge,NOC,69
Kings Bridge,UNK,19
